lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-7.4608551,0.90053527,1.0982896,1,3,0,8.0781335,0.41464825
-7.4608551,0.38375721,1.0982896,1,1,0,8.9802386,0.41464825
-6.9624043,1,1.0982896,2,3,0,7.401848,0.17465627
-7.5287382,0.86290253,1.0982896,1,3,0,7.9257641,0.42280848
-6.8823032,0.99207682,1.0982896,2,3,0,7.7254764,0.18923228
-8.15478,0.72819611,1.0982896,1,3,0,8.4902477,0.48603104
-8.15478,0.30879093,1.0982896,1,1,0,10.24695,0.48603104
-6.7724276,1,1.0982896,1,3,0,7.8636188,0.22308425
-6.748054,0.99338332,1.0982896,2,3,0,6.8128153,0.251005
-6.8246926,0.76780138,1.0982896,2,3,0,7.957499,0.20330544
-6.763477,0.98973121,1.0982896,2,3,0,6.8990374,0.22846428
-7.1106668,0.9217711,1.0982896,2,3,0,7.2934995,0.15478112
-6.7982985,0.98164353,1.0982896,2,3,0,7.2682921,0.21182579
-7.2763318,0.87510113,1.0982896,2,3,0,7.6553675,0.39040156
-6.8176441,1,1.0982896,2,3,0,7.1104134,0.29845632
-6.7744858,0.95698234,1.0982896,2,3,0,7.0196346,0.22200343
-6.8150903,0.9851252,1.0982896,2,3,0,6.8735283,0.29752867
-7.4728187,0.78309734,1.0982896,1,1,0,7.4738752,0.41611217
-7.0529459,1,1.0982896,2,3,0,7.3558155,0.16176462
-6.7841667,1,1.0982896,1,3,0,6.9853704,0.2174367
-7.8669649,0.82406124,1.0982896,2,3,0,8.1497951,0.099454076
-8.1583461,0.95966672,1.0982896,1,1,0,8.2961316,0.086449019
-8.3091796,0.98088546,1.0982896,1,1,0,8.524797,0.080669168
-8.1638991,1,1.0982896,1,1,0,8.5087279,0.086225979
-8.099127,1,1.0982896,1,1,0,8.392268,0.088880144
-6.7846046,0.964553,1.0982896,1,3,0,7.9831486,0.21724662
-7.3109734,0.8961423,1.0982896,1,3,0,7.3437332,0.13514401
-7.3109734,0.843058,1.0982896,1,3,0,8.6872624,0.13514401
-7.0487824,1,1.0982896,2,3,0,7.280498,0.16230015
-6.7485896,0.99521331,1.0982896,2,3,0,7.0647086,0.24580317
-6.9414204,0.95201223,1.0982896,1,3,0,6.9667985,0.17810658
-7.2620277,0.91461661,1.0982896,2,3,0,7.7214877,0.13942936
-8.379521,0.86521167,1.0982896,1,3,0,8.3844212,0.07815732
-7.5690335,1,1.0982896,1,1,0,8.27353,0.11620091
-8.1180464,0.83367941,1.0982896,1,3,0,9.3749978,0.48276937
-9.8457092,0.72874903,1.0982896,2,3,0,10.274779,0.60378011
-7.133083,1,1.0982896,2,3,0,8.7836441,0.36870004
-7.0225829,1,1.0982896,1,1,0,7.1780157,0.34925256
-7.2207905,0.97541562,1.0982896,2,3,0,7.3012017,0.38235505
-6.7834892,0.94700847,1.0982896,2,3,0,7.5264229,0.21773321
-6.7930936,0.99728982,1.0982896,1,1,0,6.801647,0.21377905
